title,rooms,square_m,floor,serie,price,link,area,region,street,building_total_floors,price_per_square_m,time
Сдаю двухкомнатную квартиру на длительный срок. Аренда за первый,2.0,44,1.0,LT proj.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/afihc.html,riga,Ķengarags,Prūšu 3,5,5.681818181818182,2023-01-05 07:32:31
Ilgtermiņā izīrē. Visas detāļas un nianses var aprunāt tikšanas,2.0,53,4.0,103.,280.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/cgnjm.html,riga,Mežaparks,Viestura pr. 77,5,5.283018867924528,2023-01-05 07:32:31
Пенсионер сдает комнату студентам или пожилой женщине. С детьми,2.0,50,2.0,Hrušč.,100.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/fpknd.html,riga,Iļģuciems,Cementa 3б,1,2.0,2023-01-05 07:32:31
Владелец сдаёт 3х-комнатную квартиру с мебелью напротив т/ц Akro,3.0,75,4.0,Čehu pr.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/hkncg.html,riga,Ķengarags,Maskavas 259/1,12,6.0,2023-01-05 07:32:31
"Хозяин сдаёт на длительный срок квартиру. Квартира тёплая, уютна",2.0,48,1.0,LT proj.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/fejnh.html,riga,Iļģuciems,Buļļu 35A,5,4.791666666666667,2023-01-05 07:32:31
Сдаётся 2-ух комнатная квартира в Агенскалнских соснах. В квар,2.0,44,4.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/idfpn.html,riga,Āgenskalns,Kristapa 26,5,4.545454545454546,2023-01-05 07:32:31
"Piedāvājam uz īri divu istabu dzīvokli renovētā, vēsturiskā, pir",2.0,44,4.0,P. kara,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fhbmm.html,riga,centrs,Ieroču 10,5,7.954545454545454,2023-01-05 07:32:31
"Vienkāršs, kompakts un saulains studio tipa mājoklis iekšpagama",1.0,29,4.0,LT proj.,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/amxxk.html,riga,Teika,Brīvības 215,5,10.0,2023-01-05 07:32:31
"Сдаём апартаменты, с отдельной ванной в каждой комнате. Можно на",1.0,25,2.0,Specpr.,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/agicp.html,riga,Imanta,Kurzemes pr. 132,2,14.0,2023-01-05 07:32:31
Izīrē ilgtermiņā (ne mazāk par gadu) 2-istabu dzīvokli ar visām,2.0,48,3.0,Čehu pr.,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/anfnb.html,riga,Ķengarags,Lokomotīves 54,12,6.666666666666667,2023-01-05 07:32:31
Сдаётся 1комнатная квартира с хорошим ремонтом. Центральное отоп,1.0,34,2.0,P. kara,280.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bgcio.html,riga,centrs,Vārnu 11a,4,8.235294117647058,2023-01-05 07:32:31
Saimnieks meklē īrniekus jaunam 2-istabu studijas tipa dzīvoklim,2.0,40,4.0,Jaun.,550.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/aglkm.html,riga,Mežciems,Juglas 20,5,13.75,2023-01-05 07:32:31
